seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
41,keep,1775881747962433807,0x2b6dc93a840e3b855bdd4a90b39dfeee9370a1f715ccce6503bc8e884cf1a3e6,0x1,0x69f,3247.679,,
42,keep,1775881751761207816,0x6c5035d208e58ecb4c8bab4dba7c6788727f733d906571876b231c6d49a8af72,0x1,0x6a0,1691.442,,
43,keep,1775881754007361584,0x53cf1f827797f62db384e76795b09843b1572336b34c174edd6a6f2610738343,0x1,0x6a1,3222.761,,
44,keep,1775881757671365404,0x5fe73d7eae7dea34ad320b27cf57bfc41e8a21c6a434cf85b750d65b2191b7c5,0x1,0x6a2,3254.233,,
45,keep,1775881761298607829,0x550fe00dbfc2eda78a8ecb656ecf477599877ccb245d8de7a7cbebf4399b8e0c,0x1,0x6a3,1963.173,,
46,keep,1775881763828019018,0xf4adce6f7e9422af19ea769da82263138297683a77eb33d72586664dc8b22894,0x1,0x6a4,3191.801,,
47,keep,1775881767436869173,0x83128d256fb2881627dd6ff53ea8ff4536737393384b8f5d259cc18351dbff02,0x1,0x6a5,3201.443,,
48,keep,1775881771243963038,0x3f289c045edf7649a0411a495e620045fdb3156c964491f65042c0574534a682,0x1,0x6a6,1819.464,,
49,keep,1775881773522467351,0x9b548205abe3f8993c2879b9aadd0509b1a13d92de57508c7912c5c1a164c5dd,0x1,0x6a7,3224.912,,
50,keep,1775881777231882718,0x3dec118e0e3eb6e1287d516e7ffc04de29a88ae9d76ed4aecfe0447823c822b6,0x1,0x6a8,3268.775,,
51,keep,1775881781032185441,0xe7756808015b626c4b560c406303a6d7777cf04889f4ba6f87f526a73a292603,0x1,0x6aa,1751.855,,
52,keep,1775881783399887302,0xa2c7b811c55d6e7277f34a1cb964c1acb1c665827e4222b9aa6cf17fb648f59c,0x1,0x6ab,3228.976,,
53,keep,1775881787152054193,0xb63b3946bab58c7efd2827c081462555536a0462e46f55800a1327bed67654bc,0x1,0x6ac,3206.927,,
54,keep,1775881790820717561,0xc1df8d43d3bf61f790760f66a17ac33bb56b422d41b93aee3b4bd7eacbc5d71e,0x1,0x6ad,1815.729,,
55,keep,1775881793121694274,0x6d415ce1c2ec96c51d923c85fcb6ce1819f439f37fc9f335ea3b6d1ed20a7f4a,0x1,0x6ae,3200.079,,
56,keep,1775881796769173769,0x83054df9ab19ba3805906a88efdb9fee1b78510da95d83bdbdd38a5d09e8068d,0x1,0x6af,3197.056,,
57,keep,1775881800494469792,0x5e3741467672aab0f454153c9e132134be0d3e187b8a8d565af349f79731af4e,0x1,0x6b0,1853.212,,
58,keep,1775881802891701006,0x4f01405b015c77307f5b27369ed582ad6e172620a39ec9b510f4245fbf54ace7,0x1,0x6b1,3189.707,,
59,keep,1775881806497708200,0x7b9c8b9651f7c3f1e99f2c053e88e6a41d88470e75c397501188d3fafead2012,0x1,0x6b2,3200.343,,
60,keep,1775881810175930683,0x2df7dde5cafc2e78cd0057d4d98cac00fd1fda722d72fdd0aad6a9e5fd63ab85,0x1,0x6b4,1880.155,,
