case_name,tx_total,tx_receipt_count,tx_error_count,tx_timeout_count,tx_send_error_count,tx_receipt_error_count,lat_avg_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,keep_total,keep_success,keep_retention_rate,fail_total,fail_success,fail_drop_rate,disabled_skip,endorsement_satisfied,endorsement_failed,rebuild_count,remote_request_count,verify_ok_count,case_log_lines,fault_status,fault_message,fault_name,_case_dir
fault_delay_100ms,60,54,6,0,0,0,1325.023,1326.597,1408.143,1422.746,54,54,1.0,6,0,1.0,0,54,6,6,180,54,1500,applied,delay 100ms applied to nitro-testnode-endorser-a-1,delay:nitro-testnode-endorser-a-1:100ms,fault_delay_100ms
fault_delay_300ms,60,54,6,0,0,0,1532.027,1536.615,1585.941,1595.262,54,54,1.0,6,0,1.0,0,54,6,6,180,54,1523,applied,delay 300ms applied to nitro-testnode-endorser-a-1,delay:nitro-testnode-endorser-a-1:300ms,fault_delay_300ms
fault_delay_500ms,60,53,7,0,0,0,1723.014,1707.99,1786.963,2236.79,54,53,0.9815,6,0,1.0,0,53,0,0,159,53,2524,applied,delay 500ms applied to nitro-testnode-endorser-a-1,delay:nitro-testnode-endorser-a-1:500ms,fault_delay_500ms
fault_down_1,60,54,6,0,0,0,2758.69,3200.211,3252.269,3278.538,54,54,1.0,6,0,1.0,0,54,6,6,180,54,1753,applied,container nitro-testnode-endorser-a-1 stopped,down:nitro-testnode-endorser-a-1,fault_down_1
fault_down_2,60,0,60,0,0,0,,,,,54,0,0.0,6,0,1.0,0,0,60,60,180,0,1536,applied,container nitro-testnode-endorser-b-1 stopped,"down:nitro-testnode-endorser-a-1,nitro-testnode-endorser-b-1",fault_down_2
fault_remote_normal,60,54,6,0,0,0,1197.336,1199.95,1253.919,1271.166,54,54,1.0,6,0,1.0,0,54,6,6,180,54,1633,noop,no fault requested,none,fault_remote_normal
