seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
38,keep,1775876963153122032,0x2f67cad1aec93a2d6d061eca728103e0c9c38a026f5b1818c222af5ab80460ab,0x1,0x194,1132.769,,
39,keep,1775876964657614051,0x14b01b58843cd4f941788e881e99168242399c27369b525ccb9ec59f45cf19de,0x1,0x195,1123.144,,
40,keep,1775876966145356602,0x7d413b9428cc09be787a20075c2681b4d7b62e043391bc0126ce4de8d8ed91fd,0x1,0x196,1143.856,,
41,keep,1775876967633629295,0x609ff3bfc0ce06e888770878296e193b11b80c467ec178048131169160c798f5,0x1,0x197,1150.381,,
42,keep,1775876969123886733,0xb639c3c0c9d99507ff76705a84724830ecf1ac6deef1555c924514a0f2669366,0x1,0x198,1136.152,,
43,keep,1775876970629549575,0x0a016a6964d1cc1f57f0d8d054e457c3864d6717f750a332b7246401549a3a61,0x1,0x199,1137.755,,
44,keep,1775876972100338069,0xc44403965fb8a35140278fe72acc32b9bfdb1b7a36fdc61efac8af4f15a8b8af,0x1,0x19a,1154.326,,
45,keep,1775876973599895618,0x903dc70e26cc6f4a9067beb94b64f30b6fdd754f2a70936370c6bedd8fea2738,0x1,0x19b,1132.293,,
46,keep,1775876975062166371,0x21f5acec87edf507b16c2ebab6780e5f590d859efaf4ba44bbcfec210bfd271d,0x1,0x19c,1156.261,,
47,keep,1775876976606666026,0x5529392f3b5518c01b18139a37f7f15dad5a9117ba1676d4ac4cb7c76a55da84,0x1,0x19d,1152.23,,
48,keep,1775876978176663197,0x455aef7ce7f555b72fea6756759310a551b1d38a567b16bdf2ae11dd286d6b5d,0x1,0x19e,1132.149,,
49,keep,1775876979691756685,0x9538697503e56055cdd371238cc2bf9c9bbb14908ce17b4c3edeb81f753db765,0x1,0x19f,1142.53,,
50,keep,1775876981184393184,0xfbbb030accb7ee82e6b6bae823207a3f1cc3518d87f73b5397ded4979bd26492,0x1,0x1a0,1123.13,,
51,keep,1775876982663763213,0x0a88296eac9136f485d03feff9806679a71b019b118b776fc55c4b0a0dbd3bf8,0x1,0x1a1,1155.071,,
52,keep,1775876984176660902,0xc4ebf6af116e0ecb0d3941d60ef9e8619477c627fcb28832f64eb27b4e223e5f,0x1,0x1a2,1148.571,,
53,keep,1775876985642604108,0x27b076083a4e572198f2621a5563dff519b3638e0f2a04071b0aec9da511e738,0x1,0x1a3,1114.012,,
54,keep,1775876987067597799,0xf2ca7e7c603fff7128fd99acf1e275ab5daf42653d842ad633420d5068cfdfa4,0x1,0x1a4,1106.417,,
55,keep,1775876988544633221,0x2757ef0c3aca2e0a0945d6a3ae99e2240ae6d8144d82eed4d4fe1f5c65609e82,0x1,0x1a5,1136.752,,
56,keep,1775876990040730476,0x379b60c664a6bc998b5d9a467bfe7d6ee8003fcdb513164454050696bfaca5d0,0x1,0x1a6,1149.944,,
57,keep,1775876991583774040,0xcb4fff1ac3d0b4d0ddb34fc97da14f6cf9b437ca8a798b77734e87eef51c18c1,0x1,0x1a7,1158.205,,
58,keep,1775876993088250046,0xe9e64cb830b717623dabcb1911bef47484897060548591c8e14f8d1aec1a0a1b,0x1,0x1a8,1151.512,,
59,keep,1775876994624782176,0xd39766882cd5eb195c7c78a64a70f0588610168b9de759497c25f6fb17088e77,0x1,0x1a9,1153.968,,
60,keep,1775876996132664326,0xabeba9313b11aa51cd1062e4443a85f84ed2847f793a693a46e57c59e9118ebb,0x1,0x1aa,1158.841,,
61,keep,1775876997642524899,0x81bbbde0e26e1b86f1ef1dee6bb78102013dab89dd2eda89649e9d57c45c90bd,0x1,0x1ab,1162.492,,
62,keep,1775876999177469618,0xdaf7790dfc7c694c8fa14d88409b0f6101ed76f25674dae72279dba8f533091a,0x1,0x1ac,1117.272,,
63,keep,1775877000672305886,0x32e7d0690c83cbfd29063cc4006b68ed6bc6a7bf1ace7af0e39381d571a82029,0x1,0x1ae,1155.902,,
