seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
1,fail,1775881339407364464,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x66cb5a11b89bb1b7ecd02440f66dbd03cc43cb33d9ba1bd54f01b351ebc779b4] ",send
2,fail,1775881341769651039,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x66cb5a11b89bb1b7ecd02440f66dbd03cc43cb33d9ba1bd54f01b351ebc779b4] ",send
3,fail,1775881343558289829,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x66cb5a11b89bb1b7ecd02440f66dbd03cc43cb33d9ba1bd54f01b351ebc779b4] ",send
4,fail,1775881345341534357,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x66cb5a11b89bb1b7ecd02440f66dbd03cc43cb33d9ba1bd54f01b351ebc779b4] ",send
5,fail,1775881347118105323,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x66cb5a11b89bb1b7ecd02440f66dbd03cc43cb33d9ba1bd54f01b351ebc779b4] ",send
6,fail,1775881348969815796,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x66cb5a11b89bb1b7ecd02440f66dbd03cc43cb33d9ba1bd54f01b351ebc779b4] ",send
7,keep,1775881350781006551,0xca5064c37bbef25e0e09689c4136bf9c3d7abaf841c969dc2cf4520520631749,0x1,0x609,1540.386,,
8,keep,1775881352813196430,0xc390f5d94a1da7e368f8aa18eaeba03e0d4c9020aedcccd7b1cfb07269e1eace,0x1,0x60a,1555.149,,
9,keep,1775881355000453751,0x71a3a7cc30457a9d0a7d29b641eccbb6b1db95ebd0ee83f059c1b769add20f35,0x1,0x60b,1597.719,,
10,keep,1775881357062787408,0xf19c1bfed80297d292454147875530874f2b71a758ee03ad56d939001c8a9bbb,0x1,0x60c,1484.54,,
11,keep,1775881359093881300,0x9297d477a68c7f096a706d9fc25fdb52eda0110e0ba45575e930e27a623a6c6d,0x1,0x60d,1487.614,,
12,keep,1775881361110748117,0xae3911d643b5abbdd443c182858243da5801445bd127a67ce407a62e26357334,0x1,0x60e,1496.589,,
13,keep,1775881363143138705,0xd4c7013eab1ee112d0d0fc1b5dee834f68767d808eed8fc95f6dabdf42a37271,0x1,0x60f,1499.307,,
14,keep,1775881365078105167,0x8997f4051fc1716fd4b32c71193268dc45cf12272daaa5efc446669801ed8888,0x1,0x610,1536.605,,
15,keep,1775881367168360318,0xa37400c02f80b94ce4456136f2e7d36e8893b4e0a033f2a6da72670af2f19998,0x1,0x611,1504.251,,
16,keep,1775881369202933213,0x021b0639835efe4308f1ef104e49d0197f996afe549fef110833cd75129008e1,0x1,0x612,1563.024,,
17,keep,1775881371319712628,0xebb1b143ea33889ea4d30396606e935361473855a7a893447125f48284d46e86,0x1,0x613,1527.021,,
18,keep,1775881373247512021,0xe03da2737710d0fc71fb318de7087e3097ae5ccdc04089900f91993b110401f0,0x1,0x614,1509.857,,
19,keep,1775881375404911355,0x79f9797e5c2d340a6b01efe844c5d906d9fffe5298635db53bdf0d4b4d76fecf,0x1,0x615,1536.625,,
20,keep,1775881377370093655,0xcdea7f98bcbab8eb454d908aec824db41aae181f6545925b6faa4b3fd9c7b41f,0x1,0x616,1576.213,,
21,keep,1775881379512235070,0x864a7db91cb9f9edef4feba76cf76360d42f170861d95e3fa2bb97b26d3077fb,0x1,0x617,1537.655,,
22,keep,1775881381542324904,0x9568fe15c4eb4247dd1e0cef6ddc8bfa581ca5ff10f9cfded4fe519e69b4b7b1,0x1,0x618,1544.672,,
23,keep,1775881383526619756,0xfaf50f95701c457a207b3ac6124035c0b820d9156136498a6cde45fd19a3a537,0x1,0x619,1570.759,,
24,keep,1775881385563033457,0x1140141783254c3195aeb8be526f71ad4f14d4989b681520d94f8a5726d70914,0x1,0x61a,1544.037,,
25,keep,1775881387477777187,0xd08dcbe6c7656fdefc67145579bec910b5980fd0b172b1b27ae876b3235326e0,0x1,0x61c,1485.978,,
26,keep,1775881389454197699,0x0063a4db123f27f14e0d262454a01e5b57e3664008d259a9fdab16b6bbb85ab2,0x1,0x61d,1516.623,,
27,keep,1775881391442677054,0xce60658c553aee271018e90156af6bfaccde1f800a7821457d02798c2a16c162,0x1,0x61e,1531.244,,
28,keep,1775881393473234849,0x47e1576c798a54b5e04c532b26e4fcb7e12d722f1863893729e548585909a146,0x1,0x61f,1543.948,,
29,keep,1775881395418765226,0xbc1f5b0eab7a18e8b5fc6db94aa6da9e8405ff0f05b1456b00ec10779b917492,0x1,0x620,1583.455,,
30,keep,1775881397489058904,0x8bf4a82f3322d31a3a68ad3fa1ae1e7ee6ab24f78524cf766e9d0e8a765de998,0x1,0x621,1548.743,,
31,keep,1775881399561314545,0x7bbe959e5e484a086ad2921bf6795b8985055beedeaadd76ffe895fccbc743c5,0x1,0x622,1556.859,,
32,keep,1775881401607630243,0x1f2efa4709285f1ce0c3e54036bbc5541ac4f33ccb406cd583b343d5857c0b1f,0x1,0x623,1593.084,,
33,keep,1775881403777146572,0xe6b196a4fdb04bc01ea7767df8ed2612baae559fb741e2998d775bce5dbdd879,0x1,0x624,1531.303,,
34,keep,1775881405799690354,0xa72956994d9f4d18115702dc47d93b767e7fccc192604af094703dcb98722495,0x1,0x625,1528.377,,
35,keep,1775881407896752791,0x2c86d25a969c280ba0972c8d423c9fbcc174c7aff6f2a1a7ca59f536dee8752e,0x1,0x626,1540.038,,
36,keep,1775881409959646570,0x62ee6c9fbcff19b5bbbbf9c69fe986052685e4d402843e31b147b8e70023f205,0x1,0x627,1522.233,,
37,keep,1775881411938650382,0x4d9967acb4f6acb519876a9726edcffdfb3a8d25074e08a8a2c4e96cd807cd4e,0x1,0x628,1562.053,,
38,keep,1775881413880215574,0x1af0701507fb8910fef8a0e52d3038d5c7e8a5ec0632a5e7ab85e2964ebc2bc5,0x1,0x629,1561.296,,
39,keep,1775881415817964889,0x5a45b928a8d09bbebd35575a2fa4210cde872825da67b6aa29187c76a696aa97,0x1,0x62a,1516.555,,
40,keep,1775881417737124826,0x88998366675ee617e713dd87f5c47c1f70b10c6027d9ff45ab331d36f8949e14,0x1,0x62b,1540.375,,
41,keep,1775881419634535573,0x57341429a61ebac3a47c3db802d36a5398e42b8288a01aa1ee9bce670db8c609,0x1,0x62c,1427.593,,
42,keep,1775881421416639777,0xb60d11a03143f932affa0210077b1191284a02cee056991b05ee713fd3b1143e,0x1,0x62d,1452.73,,
43,keep,1775881423322770193,0xcc218ad6d0f51f70d1413e0299f3cd4ac74662fd2920a0fd94f5f0397c08d86e,0x1,0x62e,1464.955,,
44,keep,1775881425238950369,0x1a4ea2d88433686b91c7ed8e65fa61a2e1ee2ccbab20be64258e72f4de0a3f33,0x1,0x62f,1542.762,,
45,keep,1775881427256904438,0x7ebe1abdac556651cc75b290b60e65f8aa5bea57c811691d7b307c180df3d950,0x1,0x630,1453.826,,
46,keep,1775881429127023990,0xa9157b050392dbc8a95c32110adc7f6b58cf0f16450ea47aef4946b9a5c6783e,0x1,0x632,1481.68,,
47,keep,1775881431058486204,0x067eb684a5608a3da2698dd6eb926c6578810ddbbe6520235afd6849a6730276,0x1,0x633,1590.557,,
48,keep,1775881433063516772,0x5808871f0bfa96fac0d1c69411b9025bae0c628738c408366c97aacad21722e8,0x1,0x634,1528.585,,
49,keep,1775881435056445406,0xc8d348dc5c104a43a2a59a1e3258707152eae5b1cb52851b646d430b68945433,0x1,0x635,1555.453,,
50,keep,1775881437059189280,0x356a4dedeb6847b9c929a7354cb5fbeeb8a3f42536cd5ea05b3d0b89851f2f7f,0x1,0x636,1566.29,,
51,keep,1775881439083980728,0x026ce6662b14ba521e93d51d13674418f72b413bedd82c10c640650d2cd4f84b,0x1,0x637,1557.562,,
52,keep,1775881441077708837,0x6d71c708e345bdf77c26b172423115a2b95d8d341fd331a1f19a840cc3b4cdf7,0x1,0x638,1546.475,,
53,keep,1775881443067670413,0xd0166ea6dd62431acbebc3512f8527134b639e9c20e8734585c109b235e1043e,0x1,0x639,1534.471,,
54,keep,1775881445010530655,0x2226cdaf0e0d39b738223df3078c7ea369b9a299cc95c038be6df06d1caed8e8,0x1,0x63a,1505.905,,
55,keep,1775881447016922631,0xdd784f7ff4213028fca632a26202226fe707d8f99ef2d78c7ed49303ec88cf9f,0x1,0x63b,1527.679,,
56,keep,1775881449049962746,0xf638aa5f87fe1fb992b99e7a388087c057a806fab7b45bb3c86bbff9940eab27,0x1,0x63c,1522.109,,
57,keep,1775881451063801936,0x49769e534b4ed7964fdce0dba248bd3cfcdee31cc63693d45f44710f80af6f3a,0x1,0x63d,1579.101,,
58,keep,1775881453174973650,0xda2c7bfbe3e263c47cc4998282c6dbd03dfda6253aaf7ecc9abb9adf45a7a822,0x1,0x63e,1559.027,,
59,keep,1775881455236598062,0xd7bb7e3eb0ca18f63d8fa7de362a5929ac4716704be26f035629f155df77de44,0x1,0x63f,1529.77,,
60,keep,1775881457211572782,0xf25f40a85b90aded53aa58b877f71cc5538299fbd680ecacecbb1807fdf4e3b1,0x1,0x640,1528.749,,
