seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
1,fail,1775732642560781446,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x53ec5dc42fb4e69559f2ea9d2e80f361feeda7b3a68f4fed61bf820291204eb9] ",send
2,fail,1775732644026837271,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x53ec5dc42fb4e69559f2ea9d2e80f361feeda7b3a68f4fed61bf820291204eb9] ",send
3,fail,1775732645445104443,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x53ec5dc42fb4e69559f2ea9d2e80f361feeda7b3a68f4fed61bf820291204eb9] ",send
4,fail,1775732646877074592,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x53ec5dc42fb4e69559f2ea9d2e80f361feeda7b3a68f4fed61bf820291204eb9] ",send
5,fail,1775732648332020878,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x53ec5dc42fb4e69559f2ea9d2e80f361feeda7b3a68f4fed61bf820291204eb9] ",send
6,fail,1775732649791333739,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x53ec5dc42fb4e69559f2ea9d2e80f361feeda7b3a68f4fed61bf820291204eb9] ",send
7,keep,1775732651207824748,0xb1691ae99e04b0f166c92391ebb028a22558b0712fff154bc408450b3b0fb6b8,0x1,0x13c,1144.099,,
8,keep,1775732652830043974,0xb4c2bb73a43118a41930bf26fc351f0d41d9e3707d7a9a5752f96e7a3eb310e0,0x1,0x13d,1168.947,,
9,keep,1775732654494093163,0xde574ec6d39766c8b9de303616fee6d2269fbe17812746be294de27dea788ae2,0x1,0x13e,1147.454,,
10,keep,1775732656120838949,0x9974a0fa901b6168fd2528dca03a0411a88866fb3b751698346a1ee6c46efdb7,0x1,0x13f,1174.509,,
11,keep,1775732657782736031,0x25022688f0596df235490600b1ab65856f30cfe4b82fc11840817d77d5b4ec9a,0x1,0x140,1163.733,,
12,keep,1775732659447094483,0x643e494297c290219d632bda5a482e54c076274e402df36d4bd9cc0c69905c00,0x1,0x141,1193.875,,
13,keep,1775732661215066824,0xf0d18791b2f2fc6457ab050d4b95c3b35ba6bb680aa1895340b7eeedf1171e1c,0x1,0x142,1150.74,,
14,keep,1775732662869633661,0x2883fb8bea747ccc2ed87e8a25336977aa44df09bf1313395309ab125305a530,0x1,0x143,1191.994,,
15,keep,1775732664491077956,0x77f8e788ed1b008c9fd5d3bc6f5c4e239ebb8c3010a7d5afe6fe3928d5d14ec2,0x1,0x144,1241.448,,
16,keep,1775732666275381332,0x3b27a7036d90dbb283165c6e20a6d61407a66c4b3e93b57838a54968bf6f4097,0x1,0x145,1190.139,,
17,keep,1775732667959840201,0x7c8d9f79d50a129ed685e819880c9a2676eabe1d2357a7c3b5723c80fad54586,0x1,0x146,1155.619,,
18,keep,1775732669555053584,0x8aecd1cd9abce165232b1c670f20156f0c221e7f9bc1ea03a35da629df8e5005,0x1,0x147,1241.27,,
19,keep,1775732671241346271,0x1837cca22e8e61f2f4774994ee4ef1ddc22bd5bd5bce414960e6b030c47a8b12,0x1,0x148,1164.402,,
20,keep,1775732672920456547,0xad4d826d159339854a1a3ce582f20ea516321881f8baa9292947c7a63a407990,0x1,0x149,1180.922,,
