case_name,tx_total,tx_receipt_count,tx_error_count,tx_timeout_count,tx_send_error_count,tx_receipt_error_count,lat_avg_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,keep_total,keep_success,keep_retention_rate,fail_total,fail_success,fail_drop_rate,disabled_skip,endorsement_satisfied,endorsement_failed,rebuild_count,remote_request_count,verify_ok_count,case_log_lines,fault_status,fault_message,fault_name,_case_dir
threshold_2of3_fail20,100,80,20,0,0,0,1157.307,1145.58,1240.26,1247.789,80,80,1.0,20,0,1.0,0,80,20,20,300,80,2614,noop,no fault requested,none,threshold_2of3_fail20
threshold_2of3_fail40,100,60,40,0,0,0,1158.442,1142.438,1251.997,1266.455,60,60,1.0,40,0,1.0,0,60,40,40,300,60,2563,noop,no fault requested,none,threshold_2of3_fail40
threshold_3of3_fail20,100,80,20,0,0,0,1175.903,1175.698,1247.129,1275.985,80,80,1.0,20,0,1.0,0,80,20,20,300,80,2463,noop,no fault requested,none,threshold_3of3_fail20
threshold_3of3_fail40,100,60,40,0,0,0,1145.843,1144.901,1173.159,1186.492,60,60,1.0,40,0,1.0,0,60,40,40,300,60,2492,noop,no fault requested,none,threshold_3of3_fail40
