case_name,tx_total,tx_receipt_count,tx_error_count,tx_timeout_count,tx_send_error_count,tx_receipt_error_count,lat_avg_ms,lat_p50_ms,lat_p95_ms,lat_p99_ms,keep_total,keep_success,keep_retention_rate,fail_total,fail_success,fail_drop_rate,disabled_skip,endorsement_satisfied,endorsement_failed,rebuild_count,remote_request_count,verify_ok_count,case_log_lines,fault_status,fault_message,fault_name,_case_dir
perf_baseline_keep_only,100,100,0,0,0,0,941.874,928.299,1024.541,1041.184,100,100,1.0,0,0,,100,0,0,0,0,0,998,noop,no fault requested,none,perf_baseline_keep_only
perf_local_keep_only,100,100,0,0,0,0,925.795,925.435,961.482,988.56,100,100,1.0,0,0,,0,100,0,0,0,100,2275,noop,no fault requested,none,perf_local_keep_only
perf_remote_keep_only,100,100,0,0,0,0,945.672,944.788,976.008,985.477,100,100,1.0,0,0,,0,100,0,0,300,100,3287,noop,no fault requested,none,perf_remote_keep_only
perf_remote_mixed_10pct_fail,100,90,10,0,0,0,1144.366,1144.148,1164.579,1170.47,90,90,1.0,10,0,1.0,0,90,10,10,300,90,2621,noop,no fault requested,none,perf_remote_mixed_10pct_fail
perf_remote_mixed_30pct_fail,100,70,30,0,0,0,1141.478,1141.661,1168.022,1177.97,70,70,1.0,30,0,1.0,0,70,30,30,300,70,3906,noop,no fault requested,none,perf_remote_mixed_30pct_fail
