seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
1,fail,1775881216094454988,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x7cd51fe31f41e3eb51d9e9fa6789d59750ab1aa711f57c8b0fdb7e2f74a08915] ",send
2,fail,1775881217976160237,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x7cd51fe31f41e3eb51d9e9fa6789d59750ab1aa711f57c8b0fdb7e2f74a08915] ",send
3,fail,1775881219565044559,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x7cd51fe31f41e3eb51d9e9fa6789d59750ab1aa711f57c8b0fdb7e2f74a08915] ",send
4,fail,1775881221162992593,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x7cd51fe31f41e3eb51d9e9fa6789d59750ab1aa711f57c8b0fdb7e2f74a08915] ",send
5,fail,1775881222783543092,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x7cd51fe31f41e3eb51d9e9fa6789d59750ab1aa711f57c8b0fdb7e2f74a08915] ",send
6,fail,1775881224279105648,,,,"Error: server returned an error response: error code -32000: candidate block rebuild required: failedTxIndexes=[0] failedTxHashes=[0x7cd51fe31f41e3eb51d9e9fa6789d59750ab1aa711f57c8b0fdb7e2f74a08915] ",send
7,keep,1775881225935666235,0x4a1a1da1c3dcc8819042374a90cf501b8b1481fcb320a75d1537d2daf7d1d043,0x1,0x5cf,1333.14,,
8,keep,1775881227722533104,0x44ad87120dcad62eb22ce77d60326ae18b370a600701a1d846cf8a831fdbc71b,0x1,0x5d0,1311.35,,
9,keep,1775881229513318268,0x026f22e2267b628d9da87a7961807777b0f6911539b1f4b8c50f4b0cfb545d90,0x1,0x5d2,1363.704,,
10,keep,1775881231435446240,0x1b327fcb321562f4a8360264653a9c145c7cf5d4c71b08f692fe59dbe76fb017,0x1,0x5d3,1280.969,,
11,keep,1775881233292962983,0xd24152047c674bfa766a418de09ed0d46e3178422803138b136dd1edd654bde8,0x1,0x5d4,1339.228,,
12,keep,1775881235067509291,0x686d396d7570dd32dec4515546c95449203d8781a4522c3ba5f9ad3f79ce1a8e,0x1,0x5d5,1364.817,,
13,keep,1775881236830084411,0x28a3ba784d946d3bb7dcd243a38fa7c4aa8fbbf137d5800a79405bd39048d8fd,0x1,0x5d6,1242.75,,
14,keep,1775881238566713577,0x2cf05325354264d572bdc99a355dafe39fb57122fe7cc2d1df7bbeac5313f696,0x1,0x5d7,1303.825,,
15,keep,1775881240265636494,0x7e1cc32bd85b2dce1f8a5dcad36cb9fe9cb5af7f9dfa3a8f358866f340d89943,0x1,0x5d8,1339.206,,
16,keep,1775881242140042450,0x18d37dfedfe0b2a9ccffe29c1103a47ab8e023db299ed7c322a5ffdda17a29d7,0x1,0x5d9,1287.746,,
17,keep,1775881243846842139,0x2fdcb6aa05d3954280ee4a893e74829a1d2a0eadd7e2f60b703dae64664cd3d1,0x1,0x5da,1411.171,,
18,keep,1775881245789119715,0x3fd42d07ec6125b0dab34ccc717c2e895d01e17b36a96e0f3dcfd85838f79003,0x1,0x5db,1335.899,,
19,keep,1775881247583543545,0x69e288028a42e4a20b062af6d31bfb5c6943d8e16ed61ffce90a736e1d32c859,0x1,0x5dc,1377.175,,
20,keep,1775881249400204412,0x3253f2a0fb84537d03b0868b265214f59361f9609b1052b24bf934604f06cb18,0x1,0x5dd,1363.328,,
21,keep,1775881251304025017,0x600defea3fa45083dfaab01f29b1d2696018e8fbf73c8d62c95a7a6acb6f2d75,0x1,0x5de,1321.0,,
22,keep,1775881253108165030,0x9378ed880826e910f4429727a4998a8f0cec081fd512a7481651ac6e329ec422,0x1,0x5df,1294.85,,
23,keep,1775881255040231334,0xe00ac1f6315ac83d4c1eafcb3b554ad368d36b941a18ea511e7e9049611a6d09,0x1,0x5e0,1352.261,,
24,keep,1775881256854702608,0xb3a6de3e26635bc3323182dafd1c101fe9aa8f12b20f9c46fdc207d5c001b8f4,0x1,0x5e1,1338.216,,
