seq,tx_type,send_ts_ns,tx_hash,receipt_status,block_number,latency_ms,error,error_stage
44,keep,1775876672175438662,0xe29308adbe7e53136f4ee39413ad56f9d2a352daac565a2a97f582e44b740451,0x1,0xdb,932.457,,
45,keep,1775876673460192062,0xafc701f03ccbbdace3b3286658b7911a0703c11524aa6e7221d3484de75da7c8,0x1,0xdc,916.276,,
46,keep,1775876674750083227,0xe9e79afea86f2667e4f5dc84a9c14ed9a7535b12131867a605b576f21e0a076f,0x1,0xdd,913.693,,
47,keep,1775876676016751960,0x715ddc30b180cf2400db76b78c802654a32d145a936deb5cd92c7478636d25d5,0x1,0xde,916.692,,
48,keep,1775876677290620683,0xa65ee2a5c11595e6c29ec09b10fcdc89cf97113f33c12d4e5be4668f747b906d,0x1,0xdf,927.443,,
49,keep,1775876678572192251,0x94f5d8a6924fdf21b1b7de5884f5640a321c90ec85fcfa1b6ce5e83bc452d851,0x1,0xe0,923.431,,
50,keep,1775876679845467259,0xc00b9b808d4faeba91e64860b813a4defb41b130fd064fddf57d22425029eb23,0x1,0xe1,929.122,,
51,keep,1775876681104135400,0xdb4c6780126899840877a057c523f0be8640acb0a0a358ecee8e1d01d12a201a,0x1,0xe2,912.69,,
52,keep,1775876682359047081,0x85045e213510eea058b0ed3385514807ad0093f2d02c88061723ad06efb31bf7,0x1,0xe3,935.004,,
53,keep,1775876683619191948,0x43063c05dc5823b7ed820056683e16a590843b21600dfe545f0fb5d70da8d273,0x1,0xe4,919.563,,
54,keep,1775876684861168832,0x5ee2126b1af990558265e63c6ec636d82afab39444b22682a9e2e611fb169fa4,0x1,0xe5,900.352,,
55,keep,1775876686104040090,0x7777cc7c7385170bd25031b4d220643cdd1b9981ba6dd582d7f3463c4b104b03,0x1,0xe6,900.495,,
56,keep,1775876687368690229,0xbb93c3bb3d77b98930a243f2f5fbb4789ce000042f8f93b16243165120a0a8ac,0x1,0xe7,951.338,,
57,keep,1775876688665199286,0xf19d53343abc77aec99062aa36131301cdf2bd150cf06a6c75b83f6d1da36c9d,0x1,0xe8,895.179,,
58,keep,1775876689926629102,0xa102250e8b834f520da075d0bc1dc90103b9e1a631bee23fde13fe3745e22c7b,0x1,0xe9,932.209,,
59,keep,1775876691201040004,0x43e6946b6497bd16ee80f2d03984e38cfe6b3b7432af5b48cc89b177d40302ac,0x1,0xea,916.322,,
60,keep,1775876692450000705,0x349b25262057662af9f95544f93f1efde567ca6c261edfc3b8fd5bbfe295567a,0x1,0xeb,923.878,,
61,keep,1775876693729476146,0x04203d2df531cb9ebbd5a474c6718a597b980fd397c06f5e702c42e0a68cebcc,0x1,0xec,922.384,,
62,keep,1775876694996509807,0xfa0df057e6e0372cf3c57460a92d301f11abe0b5ede5ef575e70d3e217f14c93,0x1,0xed,927.168,,
63,keep,1775876696265291108,0xf32f1f35d1c0fd26f54896b990800fbb1fc060ba9b0cd82d5ff5d47cbffebfd3,0x1,0xee,919.974,,
64,keep,1775876697490638001,0x9ebc33b995ce564c9e8ccbff6c3990c7cf62615ba5e812df53d814b65ad79a8e,0x1,0xef,925.499,,
65,keep,1775876698775000868,0xd378f0aa4a14e7d6363f889017fb15b7807c9cd6477d4e8eeef1517f08761838,0x1,0xf1,933.397,,
66,keep,1775876700049762092,0x85159542346cbaf10b385d0e9cce7f1a1f3648c696fd32c3a33ae0aeae792b3b,0x1,0xf2,937.8,,
67,keep,1775876701326514877,0x20d57ea8eaf496ed0c6c0b91bd35b4db9de2d3890a4ae7cdd31e58e4764687bf,0x1,0xf3,909.177,,
68,keep,1775876702568165684,0xe89d4a1227fc134973ffad8c6723f1fbac7bb7ae7f6fdd9cc1874395a0f13572,0x1,0xf4,933.901,,
69,keep,1775876703821701308,0x1bee34a6cfccf5918d24f6aa6cdc4f381b710aad0cddb39ee699dbe3a0c399a7,0x1,0xf5,913.587,,
70,keep,1775876705081190071,0xfbc55e4cc7c21d70bfc899f4751bdcf25784acd814ca7dd9eb0be06361cbf3d6,0x1,0xf6,938.393,,
71,keep,1775876706365472852,0xecc104726686bd50b1d1c58e9c473b782971c4986bc685de3787c45ef4238bc5,0x1,0xf7,926.416,,
72,keep,1775876707627268800,0x543ef8ff6db87bdf6d9293707c24c458c0a4accb97a7838d7aa1afd745e996aa,0x1,0xf8,920.151,,
73,keep,1775876708876610861,0x425a33a85f8aaeec3e72f8bffce3cb0b00afb1e4ff26f3dcf4fd835d138f5b44,0x1,0xf9,928.726,,
74,keep,1775876710150837064,0x7944ba109c8984c65881b72d2d14b3e991f53c53a33f1abb3415a83a8aea6748,0x1,0xfa,947.166,,
75,keep,1775876711419517450,0x4c7877094b3956ae3a9dea446b9a01b3d60593a790d282cba4e0cfdd04ddecea,0x1,0xfb,914.049,,
76,keep,1775876712667436488,0xd0faf9d0d7ecc8a243281a35902a6c7860bbfcdda9b15969740afb2214bdd288,0x1,0xfc,921.927,,
77,keep,1775876713931672859,0x9e93779e87357b61a069749eb446531006037c1954aa7608298cd8fdbc1ce31a,0x1,0xfd,935.738,,
78,keep,1775876715230344468,0x9edeb2190d3580ecb0ef27fc60de4eeee5c474432e7370e38aa6c5f5c042f68e,0x1,0xfe,920.739,,
79,keep,1775876716473993572,0xd27bd76a3f1f5e6cc5e54e046381bc0104dba24c77399498ab01251ee6a7f961,0x1,0xff,931.111,,
80,keep,1775876717742210207,0x9d2ad01515d146d4765f35c30276b53faea34dc6e0223f6bc0f3f991a196733b,0x1,0x100,917.103,,
81,keep,1775876719003377084,0xea8d9cb9b6e195bcb5b959a6fa6fc3e97b682a92f2a8864f2773662febdba491,0x1,0x101,935.894,,
82,keep,1775876720264354264,0xfffcfc03f26abe616a09284e85681c2d619ef52af05ee893059dbb8e466ab3ea,0x1,0x102,908.383,,
83,keep,1775876721535503248,0xe3b3744ffa9c30e5c0307abe4f030cbfe06c61ab0f915829e538ae36c71d95d4,0x1,0x103,924.047,,
84,keep,1775876722796562177,0x98053a4166c8e53f57832dbd21e425621f5e7be52ad3dde28edc32fe4a9f8580,0x1,0x104,918.268,,
85,keep,1775876724071742060,0x9948f3edfd02f96df43c4e8792c14ed0a5bd1b39b585475aa4975317e00f630e,0x1,0x105,925.37,,
86,keep,1775876725303143194,0x8936d346b14a2aa440c4aec95199c4338fab8f68ea38537058fd2b037ca43c47,0x1,0x106,915.769,,
87,keep,1775876726566778285,0x33a091279688cc737196a5a85993f67c693723252abd1b134256049b19f62ec4,0x1,0x107,929.893,,
88,keep,1775876727868453718,0xba55a6defb69eaf18d077d9e89fae18fc25f1aae2826be456f1f09958cc70c6b,0x1,0x108,932.21,,
89,keep,1775876729156905947,0x01f737d60244787ba699dea284d5e9e703a1e05090bacf569d631b2f264b2b30,0x1,0x109,935.757,,
90,keep,1775876730439076804,0xe2c6b7f42ee43e9a902289e29441b75b30241b8a1b4bd5e89f2c3ab43e0c07f3,0x1,0x10a,921.675,,
91,keep,1775876731713566395,0xe61bdeb78caa8ded562a9c6d23a4e838317fed14e21030f6dde803d027b566e2,0x1,0x10b,927.359,,
92,keep,1775876732975684221,0x3388f740e6778855d6c0dbdfc95efbe60c29c30640a1a6a62eff7b8181611551,0x1,0x10c,914.74,,
93,keep,1775876734230701117,0x6bdd2d0c46a6edb4d9a84af16d6b46c834a26268cb292701b2ea0db32d55ea5d,0x1,0x10d,928.988,,
94,keep,1775876735548516658,0x83067d9e9a043bede2db9f8a34cc7b133da431664419cf5df8e582e849ea6341,0x1,0x10e,929.531,,
95,keep,1775876736823887553,0xcf11a3d2241275ac134047f6ebf679b3713c3a7b93e7aa19b0b8e7fcd010a807,0x1,0x10f,910.601,,
96,keep,1775876738075685820,0xe59e699217b777432d5ad3473be4eb0a8598a0dc2452a9348009d3dc0c49bf7c,0x1,0x110,961.429,,
97,keep,1775876739390079253,0xabda1bb3a6735d90e1c37ed40b1a7f8f3695b6e5dab714d88821fc9029969ad9,0x1,0x112,903.773,,
98,keep,1775876740605041294,0x4a26f87a7b7f59f81cc67af7d2c1ecf15a0c3b2faeb7e5651ce855799f27c1fe,0x1,0x113,891.824,,
99,keep,1775876741800004676,0x189ad2e3d5ee01f05df005b547270eae95302e691b8396e5fe687f97c186399c,0x1,0x114,926.317,,
100,keep,1775876743052326439,0x5a6cb71ee0d4f924defc688416ec0945a3cd95e292f9611851b61eda020fba95,0x1,0x115,966.854,,
